"CountryName","Country Code","Year","Charges for the use of intellectual property, payments (BoP, current US$)","Charges for the use of intellectual property, receipts (BoP, current US$)","High-technology exports (% of manufactured exports)","High-technology exports (current US$)","Patent applications, nonresidents","Patent applications, residents","Research and development expenditure (% of GDP)","Researchers in R&D (per million people)","Scientific and technical journal articles","Technicians in R&D (per million people)","Trademark applications, direct nonresident","Trademark applications, direct resident","Trademarkapplicationstotal"
"Tonga","TON","1975","0","0","0","0","0","0","0","0","0","0","0","0","0"
"World","WLD","1992","27061817538.5241","32582089255.3882","18.2527732952521","0","255200","607545","0","0","0","0","472034","899668","1445448"
"World","WLD","2001","75830344000.9566","91196543418.1297","22.9440455049569","1049021993169","495626","833279","2.08087865621424","0","0","0","752043","1472176","2276807"
"Kosovo","XKX","2011","513882.109574526","20804.2831718884","0","0","0","0","0","0","106.5","0","0","0","0"
"Zimbabwe","ZWE","2007","0","0","3.0918652763625","47624092","0","0","0","0","168.7","0","0","0","0"
"Mozambique","MOZ","2003","0","0","6.89087982136864","6547177","16","0","0","0","24.9","0","1350","197","1547"
"Thailand","THA","1993","426961109.685108","2644844.56812488","20.6533361533395","5444163614","2353","110","0","0","0","0","6273","9190","15463"
"Antigua and Barbuda","ATG","1989","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Belgium","BEL","2008","2022946503.28795","1515499626.51209","7.98386184901735","28302042123","133","575","1.92449","3411.62698","14481.3","1461.53451","6690","21848","28538"
"Belize","BLZ","2012","2271626.48515551","0","0","0","51","0","0","0","9","0","872","120","992"
"Botswana","BWA","1999","6400836.95268046","21624.449164461","0","0","0","0","0","0","0","0","0","0","0"
"Germany","DEU","1971","423474020.056744","156379882.202346","0","0","32882","32874","0","0","0","0","3544","15453","18997"
"Denmark","DNK","2002","0","0","22.4563201224077","8313257009","169","1815","2.44191","4758.17173","0","0","6224","3929","10153"
"Algeria","DZA","2007","10547283.0763971","1460420.13764525","0.716136565964244","6607471","765","84","0","0","1405.7","0","2022","0","2022"
"Algeria","DZA","2010","92466206.4246423","2811908.23360763","0.504620348567318","5141641","730","76","0","0","2137.4","0","3188","2070","5258"
"European Union","EUU","1962","0","0","0","0","0","0","0","0","0","0","0","0","123234"
"Faroe Islands","FRO","1994","0","0","1.65493526013584","170223","0","0","0","0","0","0","0","0","0"
"Grenada","GRD","1992","440740.740740741","0","0","0","0","0","0","0","0","0","0","0","0"
"IDA blend","IDB","1967","0","0","0","0","0","0","0","0","0","0","3062","2056","5118"
"Iran, Islamic Rep.","IRN","1996","0","0","0","0","227","288","0","0","0","0","711","5021","5732"
"Kiribati","KIR","2008","0","0","11.6642863669745","137863","0","0","0","0","0","0","0","0","0"
"Kiribati","KIR","1983","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Lao PDR","LAO","1991","0","0","0","0","0","0","0","0","0","0","1216","3470","4686"
"Lebanon","LBN","1960","0","0","0","0","0","0","0","0","0","0","925","134","1059"
"Lebanon","LBN","1965","0","0","0","0","118","36","0","0","0","0","1182","281","1463"
"St. Lucia","LCA","2000","1570370.37037037","0","9.49336439009511","427949","0","0","0","0","0","0","476","41","517"
"St. Lucia","LCA","2002","2177777.77777778","0","7.80354489112137","816168","0","0","0","0","0","0","0","0","0"
"Liechtenstein","LIE","2013","0","0","0","0","0","0","0","0","31.3","0","2391","196","2587"
